college_id,college_name,division,gender_program,website,soccer_program_url,academic_year,name,title,email,phone,source_url,is_head_coach
480,Trinity University (TX),D3,mens,https://trinitytigers.com,https://trinitytigers.com/sports/mens-soccer/roster,2023-24,,,,,,true
480,Trinity University (TX),D3,mens,https://trinitytigers.com,https://trinitytigers.com/sports/mens-soccer/roster,2022-23,,,,,,true
481,Trinity University (TX),D3,womens,https://trinitytigers.com,https://trinitytigers.com/sports/womens-soccer/roster,2025-26,,,,,,true
481,Trinity University (TX),D3,womens,https://trinitytigers.com,https://trinitytigers.com/sports/womens-soccer/roster,2024-25,,,,,,true
481,Trinity University (TX),D3,womens,https://trinitytigers.com,https://trinitytigers.com/sports/womens-soccer/roster,2023-24,,,,,,true
481,Trinity University (TX),D3,womens,https://trinitytigers.com,https://trinitytigers.com/sports/womens-soccer/roster,2022-23,,,,,,true
494,Union College,D3,mens,https://unionathletics.com,https://unionathletics.com/sports/mens-soccer/roster,2025-26,,,,,,true
494,Union College,D3,mens,https://unionathletics.com,https://unionathletics.com/sports/mens-soccer/roster,2024-25,,,,,,true
494,Union College,D3,mens,https://unionathletics.com,https://unionathletics.com/sports/mens-soccer/roster,2023-24,,,,,,true
494,Union College,D3,mens,https://unionathletics.com,https://unionathletics.com/sports/mens-soccer/roster,2022-23,,,,,,true
495,Union College,D3,womens,https://unionathletics.com,https://unionathletics.com/sports/womens-soccer/roster,2025-26,,,,,,true
495,Union College,D3,womens,https://unionathletics.com,https://unionathletics.com/sports/womens-soccer/roster,2024-25,,,,,,true
495,Union College,D3,womens,https://unionathletics.com,https://unionathletics.com/sports/womens-soccer/roster,2023-24,,,,,,true
495,Union College,D3,womens,https://unionathletics.com,https://unionathletics.com/sports/womens-soccer/roster,2022-23,,,,,,true
656,Whitworth University,D3,mens,https://whitworthpirates.com,https://whitworthpirates.com/sports/mens-soccer/roster,2022-23,,,,,,true
